[rosmaster.master][INFO] 2026-07-21 17:03:16,271: publisherUpdate[/rosout] -> http://127.0.0.1:40723/ ['http://127.0.0.1:42541/', 'http://127.0.0.1:32863/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:03:16,272: +SUB [/move_base_simple/goal] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,419: +PUB [/rosout] /v2_scan_transport http://127.0.0.1:45041/
[rosmaster.master][INFO] 2026-07-21 17:03:16,421: +SUB [/clock] /v2_scan_transport http://127.0.0.1:45041/
[rosmaster.master][INFO] 2026-07-21 17:03:16,422: +SERVICE [/v2_scan_transport/get_loggers] /v2_scan_transport http://127.0.0.1:45041/
[rosmaster.master][INFO] 2026-07-21 17:03:16,423: +SERVICE [/v2_scan_transport/set_logger_level] /v2_scan_transport http://127.0.0.1:45041/
[rosmaster.master][INFO] 2026-07-21 17:03:16,425: +PUB [/scan] /v2_scan_transport http://127.0.0.1:45041/
[rosmaster.master][INFO] 2026-07-21 17:03:16,425: +SUB [/v2/scan_raw] /v2_scan_transport http://127.0.0.1:45041/
[rosmaster.master][INFO] 2026-07-21 17:03:16,471: publisherUpdate[/rosout] -> http://127.0.0.1:40723/ ['http://127.0.0.1:42541/', 'http://127.0.0.1:32863/', 'http://127.0.0.1:45041/']
[rosmaster.master][INFO] 2026-07-21 17:03:16,474: publisherUpdate[/rosout] -> http://127.0.0.1:40723/ ['http://127.0.0.1:42541/', 'http://127.0.0.1:32863/', 'http://127.0.0.1:45041/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:03:16,534: +PUB [/rosout] /spawn_m2 http://127.0.0.1:43971/
[rosmaster.master][INFO] 2026-07-21 17:03:16,536: +SUB [/clock] /spawn_m2 http://127.0.0.1:43971/
[rosmaster.master][INFO] 2026-07-21 17:03:16,537: +SERVICE [/spawn_m2/get_loggers] /spawn_m2 http://127.0.0.1:43971/
[rosmaster.master][INFO] 2026-07-21 17:03:16,538: +SERVICE [/spawn_m2/set_logger_level] /spawn_m2 http://127.0.0.1:43971/
[rosmaster.master][INFO] 2026-07-21 17:03:16,538: +CACHEDPARAM [/rosout_disable_topics_generation] by /spawn_m2
[rosmaster.master][INFO] 2026-07-21 17:03:16,542: +CACHEDPARAM [/rosout_disable_topics_generation] by /spawn_m2
[rosmaster.master][INFO] 2026-07-21 17:03:16,547: +PUB [/rosout] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,549: +SUB [/clock] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,550: +SERVICE [/tracks_to_teb_obstacles/get_loggers] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,551: +SERVICE [/tracks_to_teb_obstacles/set_logger_level] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,554: +PUB [/move_base/TebLocalPlannerROS/obstacles] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,555: +SUB [/odom] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,556: +PUB [/rosout] /nav_world_model http://127.0.0.1:39831/
[rosmaster.master][INFO] 2026-07-21 17:03:16,556: +SUB [/nav_world_model/health] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,557: +SUB [/nav_world_model/tracks] /tracks_to_teb_obstacles http://127.0.0.1:44285/
[rosmaster.master][INFO] 2026-07-21 17:03:16,557: +SUB [/clock] /nav_world_model http://127.0.0.1:39831/
[rosmaster.master][INFO] 2026-07-21 17:03:16,558: +SERVICE [/nav_world_model/get_loggers] /nav_world_model http://127.0.0.1:39831/
[rosmaster.master][INFO] 2026-07-21 17:03:16,558: +SERVICE [/nav_world_model/set_logger_level] /nav_world_model http://127.0.0.1:39831/
[rosmaster.master][INFO] 2026-07-21 17:03:16,561: +PUB [/rosout] /r6_rule_context_supervisor http://127.0.0.1:39099/
[rosmaster.master][INFO] 2026-07-21 17:03:16,563: +SUB [/clock] /r6_rule_context_supervisor http://127.0.0.1:39099/
[rosmaster.master][INFO] 2026-07-21 17:03:16,564: +SERVICE [/nav_world_model/tf2_frames] /nav_world_model http://127.0.0.1:39831/
[rosmaster.master][INFO] 2026-07-21 17:03:16,565: +SERVICE [/r6_rule_context_supervisor/get_loggers] /r6_rule_context_supervisor http://127.0.0.1:39099/
[rosmaster.master][INFO] 2026-07-21 17:03:16,565: +SUB [/tf] /nav_world_model http://127.0.0.1:39831/
[rosmaster.master][INFO] 2026-07-21 17:03:16,565: +SERVICE [/r6_rule_context_supervisor/set_logger_level] /r6_rule_context_supervisor http://127.0.0.1:39099/
[rosmaster.master][INFO] 2026-07-21 17:03:16,566: +SUB [/tf_static] /nav_world_model http://127.0.0.1:39831/
