[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/r6_rule_context_supervisor/attempt_profile_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/r6_rule_context_supervisor/allow_unfrozen_simulation_candidate] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,617: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42665/
[rosmaster.master][INFO] 2026-07-21 17:00:31,617: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42665/
[rosmaster.master][INFO] 2026-07-21 17:00:31,620: +SUB [/clock] /rosout http://127.0.0.1:42665/
[rosmaster.master][INFO] 2026-07-21 17:00:31,621: +PUB [/rosout_agg] /rosout http://127.0.0.1:42665/
[rosmaster.master][INFO] 2026-07-21 17:00:31,623: +SUB [/rosout] /rosout http://127.0.0.1:42665/
[rosmaster.master][INFO] 2026-07-21 17:00:31,634: +PUB [/rosout] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,635: +SERVICE [/m2_robot_state_publisher/get_loggers] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,635: +SERVICE [/m2_robot_state_publisher/set_logger_level] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,638: +SUB [/clock] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,638: +PUB [/rosout] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,639: +SERVICE [/move_base/get_loggers] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,639: +SERVICE [/move_base/set_logger_level] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,640: +PUB [/tf] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,640: +PUB [/tf_static] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,641: +SUB [/clock] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,643: +SUB [/tf] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,644: +SUB [/joint_states] /m2_robot_state_publisher http://127.0.0.1:38203/
[rosmaster.master][INFO] 2026-07-21 17:00:31,645: +SUB [/tf_static] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,680: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/']
[rosmaster.master][INFO] 2026-07-21 17:00:31,683: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:00:31,683: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/', 'http://127.0.0.1:45687/']
[rosmaster.master][INFO] 2026-07-21 17:00:31,683: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/', 'http://127.0.0.1:45687/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:00:31,691: +PUB [/cmd_vel] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,691: +PUB [/move_base/current_goal] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,692: +PUB [/move_base/goal] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,692: +PUB [/move_base/recovery_status] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,694: +SUB [/move_base_simple/goal] /move_base http://127.0.0.1:45687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,830: +PUB [/rosout] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,830: +PUB [/rosout] /spawn_m2 http://127.0.0.1:42271/
[rosmaster.master][INFO] 2026-07-21 17:00:31,831: +SUB [/clock] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,832: +SUB [/clock] /spawn_m2 http://127.0.0.1:42271/
[rosmaster.master][INFO] 2026-07-21 17:00:31,832: +SERVICE [/nav_world_model/get_loggers] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,833: +SERVICE [/nav_world_model/set_logger_level] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,833: +SERVICE [/spawn_m2/get_loggers] /spawn_m2 http://127.0.0.1:42271/
[rosmaster.master][INFO] 2026-07-21 17:00:31,834: +SERVICE [/spawn_m2/set_logger_level] /spawn_m2 http://127.0.0.1:42271/
[rosmaster.master][INFO] 2026-07-21 17:00:31,834: +CACHEDPARAM [/rosout_disable_topics_generation] by /spawn_m2
[rosmaster.master][INFO] 2026-07-21 17:00:31,838: +CACHEDPARAM [/rosout_disable_topics_generation] by /spawn_m2
[rosmaster.master][INFO] 2026-07-21 17:00:31,839: +SERVICE [/nav_world_model/tf2_frames] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,839: +SUB [/tf] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,840: +SUB [/tf_static] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,840: +PUB [/nav_world_model/local_geometry] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,841: +PUB [/nav_world_model/tracks] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,842: +PUB [/nav_world_model/health] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,843: +SUB [/odom] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,843: +SUB [/move_base/NavfnROS/plan] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,844: +SUB [/move_base/local_costmap/costmap] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,845: +SUB [/scan] /nav_world_model http://127.0.0.1:36687/
[rosmaster.master][INFO] 2026-07-21 17:00:31,881: publisherUpdate[/rosout] -> http://127.0.0.1:42665/ ['http://127.0.0.1:38203/', 'http://127.0.0.1:45687/', 'http://127.0.0.1:36687/']
